,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,month_year_creation
372,h1O1W6l5QsqOxfoGPO8XY4O7ZLTGU9nxMIioRo161GY=,h1O1W6l5QsqOxfoGPO8XY4O7ZLTGU9nxMIioRo161GY=,h1O1W6l5QsqOxfoGPO8XY4O7ZLTGU9nxMIioRo161GY=,,ก็หมวยนี่ค่ะ รักป่ะ,,3,37,2020-01-09,en,January 2020
373,OvjmlATTpMV94qZTWrEfJHIG4bndIvcjyxRdMIZnUAE=,OvjmlATTpMV94qZTWrEfJHIG4bndIvcjyxRdMIZnUAE=,OvjmlATTpMV94qZTWrEfJHIG4bndIvcjyxRdMIZnUAE=,,,,0,0,2019-12-07,en,December 2019
374,sV05Dnmk7GRUVpXl+QL5NG9ZnIWONNiOn9Y8wN+0Gk=,sV05Dnmk7GRUVpXl+QL5NG9ZnIWONNiOn9Y8wN+0Gk=,sV05Dnmk7GRUVpXl+QL5NG9ZnIWONNiOn9Y8wN+0Gk=,,,,0,0,2019-12-08,en,December 2019
375,B+X+Z6iDtr5QlDZjGR7VK9Tnew8BAQLUolAxGkfAgOk=,B+X+Z6iDtr5QlDZjGR7VK9Tnew8BAQLUolAxGkfAgOk=,B+X+Z6iDtr5QlDZjGR7VK9Tnew8BAQLUolAxGkfAgOk=,,รักไทย,,0,1,2020-01-21,en,January 2020
376,Id2XHNkCh84YWmowRL7PurIG0OfkkfNDhqWGHnqUwtM=,Id2XHNkCh84YWmowRL7PurIG0OfkkfNDhqWGHnqUwtM=,Id2XHNkCh84YWmowRL7PurIG0OfkkfNDhqWGHnqUwtM=,,วายๆ,,0,6,2020-01-13,en,January 2020
377,Rb7jFT34pWNqg8InVEgflveoKeRuwjREEwS2Ygt4SUQ=,Rb7jFT34pWNqg8InVEgflveoKeRuwjREEwS2Ygt4SUQ=,Rb7jFT34pWNqg8InVEgflveoKeRuwjREEwS2Ygt4SUQ=,,start up,,0,0,2019-12-08,en,December 2019
378,GJUkMiG2EDrRfRudBTN11GEIuZzpumgyT6rNqyi4=,GJUkMiG2EDrRfRudBTN11GEIuZzpumgyT6rNqyi4=,GJUkMiG2EDrRfRudBTN11GEIuZzpumgyT6rNqyi4=,,คนพิเศษ,,0,7,2019-12-08,en,December 2019
379,fo4xHifou1+dRbDVwIMPX4mr4E646qXqM8GBWjLYItQ=,fo4xHifou1+dRbDVwIMPX4mr4E646qXqM8GBWjLYItQ=,fo4xHifou1+dRbDVwIMPX4mr4E646qXqM8GBWjLYItQ=,,ทำไมเธอทำแบบนี้กับเราวะ ?,,2,56,2019-11-04,th,November 2019
380,nGbwjOY2hL+iTKPNVcrjzxNgOlwGs4KSn4Wk3exp0=,nGbwjOY2hL+iTKPNVcrjzxNgOlwGs4KSn4Wk3exp0=,nGbwjOY2hL+iTKPNVcrjzxNgOlwGs4KSn4Wk3exp0=,,,,0,3,2020-01-13,en,January 2020
381,U+BwxMhGqgmsLzXAAw8FpEcBAeaGb5c3JdQ1C2WAseE=,U+BwxMhGqgmsLzXAAw8FpEcBAeaGb5c3JdQ1C2WAseE=,U+BwxMhGqgmsLzXAAw8FpEcBAeaGb5c3JdQ1C2WAseE=,,ไม่มีไร อยากรู้ไรถาม,,0,8,2020-01-08,en,January 2020
382,uybHAN6IAHGYd98R8BFtItC3cFC7RhRc89AsJQtx3I8=,uybHAN6IAHGYd98R8BFtItC3cFC7RhRc89AsJQtx3I8=,uybHAN6IAHGYd98R8BFtItC3cFC7RhRc89AsJQtx3I8=,,,,0,0,2020-01-13,en,January 2020
383,yPM0M4CGHx3WifxOkP7iQ3LWco2EesyxzvDCNw9H+PQ=,yPM0M4CGHx3WifxOkP7iQ3LWco2EesyxzvDCNw9H+PQ=,yPM0M4CGHx3WifxOkP7iQ3LWco2EesyxzvDCNw9H+PQ=,,,,1,11,2019-11-05,th,November 2019
384,fwqRuDJs8DYQCamZc9dYfcYmI3qRowTfNVJy+08xeNc=,fwqRuDJs8DYQCamZc9dYfcYmI3qRowTfNVJy+08xeNc=,fwqRuDJs8DYQCamZc9dYfcYmI3qRowTfNVJy+08xeNc=,,,,0,1,2019-11-28,en,November 2019
385,ff1q2b3ZaON1EGCN2DHEj5z5Dpqkw0+i6H5lJkL5haU=,ff1q2b3ZaON1EGCN2DHEj5z5Dpqkw0+i6H5lJkL5haU=,ff1q2b3ZaON1EGCN2DHEj5z5Dpqkw0+i6H5lJkL5haU=,,,,2,12,2019-11-06,en,November 2019
386,bxgIozWf03nupVv4wfNzWnBzgYaYzcVBmlrwOQJs46I=,bxgIozWf03nupVv4wfNzWnBzgYaYzcVBmlrwOQJs46I=,bxgIozWf03nupVv4wfNzWnBzgYaYzcVBmlrwOQJs46I=,,,,0,4,2019-12-03,en,December 2019
387,+eaR1Nq0PWCcbb4PRUiOwgiakR4Ugyc4mrCUP6p55I=,+eaR1Nq0PWCcbb4PRUiOwgiakR4Ugyc4mrCUP6p55I=,+eaR1Nq0PWCcbb4PRUiOwgiakR4Ugyc4mrCUP6p55I=,,,,0,0,2019-12-09,en,December 2019
388,MNr2IBQThLtUyGnhq9mFsx21n8WKbiNkpAdlpDFc55w=,MNr2IBQThLtUyGnhq9mFsx21n8WKbiNkpAdlpDFc55w=,MNr2IBQThLtUyGnhq9mFsx21n8WKbiNkpAdlpDFc55w=,,me villian,,0,7,2020-01-04,en,January 2020
389,UwthslltHwEShRaOevvXrvU4JRTq2VAzWKyISpcVc=,UwthslltHwEShRaOevvXrvU4JRTq2VAzWKyISpcVc=,UwthslltHwEShRaOevvXrvU4JRTq2VAzWKyISpcVc=,,ค่ายเปรมติณสูลานนท์,,4,17,2020-01-13,th,January 2020
390,eYGM57PwXQuFa9QboVbGOIxeSm7A2P8oqxAiSaFvLc=,eYGM57PwXQuFa9QboVbGOIxeSm7A2P8oqxAiSaFvLc=,eYGM57PwXQuFa9QboVbGOIxeSm7A2P8oqxAiSaFvLc=,,away form you,,0,10,2019-12-07,en,December 2019
391,590RmU4QNGtmGP6SJBVZcjXPGft5uGXBfInLMBstwEU=,590RmU4QNGtmGP6SJBVZcjXPGft5uGXBfInLMBstwEU=,590RmU4QNGtmGP6SJBVZcjXPGft5uGXBfInLMBstwEU=,,ชอบร้องเพลง,,0,5,2019-12-09,en,December 2019
392,bczI6Z4gTtnzOMXcz+BwUtpnotf5y2W8Om7ooj+V+s=,bczI6Z4gTtnzOMXcz+BwUtpnotf5y2W8Om7ooj+V+s=,bczI6Z4gTtnzOMXcz+BwUtpnotf5y2W8Om7ooj+V+s=,,,,0,0,2019-12-09,en,December 2019
393,Yl9J7nJv6scp7M2ausY0ZrjfZraZ0jq8J26O1XYdTI=,Yl9J7nJv6scp7M2ausY0ZrjfZraZ0jq8J26O1XYdTI=,Yl9J7nJv6scp7M2ausY0ZrjfZraZ0jq8J26O1XYdTI=,,,,0,0,2020-01-09,en,January 2020
394,kdaIATgRNWVUa4ZQIzsohhbH6KvwyTi1kFrOSvWx7Gs=,kdaIATgRNWVUa4ZQIzsohhbH6KvwyTi1kFrOSvWx7Gs=,kdaIATgRNWVUa4ZQIzsohhbH6KvwyTi1kFrOSvWx7Gs=,,,,0,14,2019-06-12,en,June 2019
395,yeZLf0FVzHwBJRGGUWSTuqszjhMgP6wvUl7szSNxcOs=,yeZLf0FVzHwBJRGGUWSTuqszjhMgP6wvUl7szSNxcOs=,yeZLf0FVzHwBJRGGUWSTuqszjhMgP6wvUl7szSNxcOs=,,โสดคับอยากโดน,,0,9,2020-01-08,en,January 2020
396,rK+9cEme0MyItRsrrTRrPbeF3j4lSFSp8E8NKTdCZyw=,rK+9cEme0MyItRsrrTRrPbeF3j4lSFSp8E8NKTdCZyw=,rK+9cEme0MyItRsrrTRrPbeF3j4lSFSp8E8NKTdCZyw=,,,,0,0,2019-12-08,en,December 2019
397,fD4JqxH3sfkgb0s9Hi4TlhtuH6Nzt7EBmymR5WFcM=,fD4JqxH3sfkgb0s9Hi4TlhtuH6Nzt7EBmymR5WFcM=,fD4JqxH3sfkgb0s9Hi4TlhtuH6Nzt7EBmymR5WFcM=,,,,0,19,2020-01-13,en,January 2020
398,IFc7qfzPCvBoe0Fv5FIjjM7MM6F3IduLdc3VkFayR4=,IFc7qfzPCvBoe0Fv5FIjjM7MM6F3IduLdc3VkFayR4=,IFc7qfzPCvBoe0Fv5FIjjM7MM6F3IduLdc3VkFayR4=,,,,0,8,2019-12-05,th,December 2019
399,3SkJ5u3SiCW3083fNfd1ITIwZqCqfH3bTv0+ll0EIjk=,3SkJ5u3SiCW3083fNfd1ITIwZqCqfH3bTv0+ll0EIjk=,3SkJ5u3SiCW3083fNfd1ITIwZqCqfH3bTv0+ll0EIjk=,,อีหยังวะ,,0,5,2019-12-03,en,December 2019
400,AdFRldth1eg0Me2X91TaUvp0TlU3hW9iF9iDbQoKg=,AdFRldth1eg0Me2X91TaUvp0TlU3hW9iF9iDbQoKg=,AdFRldth1eg0Me2X91TaUvp0TlU3hW9iF9iDbQoKg=,,ไม่มีอะไรที่เราทำไม่ได้ถ้าไม่พยายาม,,0,16,2020-01-02,th,January 2020
401,7Xo1krAZvNW9+zPdZW+bttQ07S6Mjz+k7AYA5vR9BU=,7Xo1krAZvNW9+zPdZW+bttQ07S6Mjz+k7AYA5vR9BU=,7Xo1krAZvNW9+zPdZW+bttQ07S6Mjz+k7AYA5vR9BU=,,นั่งกินเหล้า,,1,64,2020-01-23,th,January 2020
402,GOytfmXy37IqtEB6DGYI73fDhGJjdczFlGeq0sljw=,GOytfmXy37IqtEB6DGYI73fDhGJjdczFlGeq0sljw=,GOytfmXy37IqtEB6DGYI73fDhGJjdczFlGeq0sljw=,,,,0,3,2019-12-09,en,December 2019
403,xiGTbHbabbJBs2xdvSOLZfgvLb4RJe+eiYm4dJeleY=,xiGTbHbabbJBs2xdvSOLZfgvLb4RJe+eiYm4dJeleY=,xiGTbHbabbJBs2xdvSOLZfgvLb4RJe+eiYm4dJeleY=,,,,0,4,2019-12-09,en,December 2019
404,wkPEU5MBDwDM7TCR1NbH2iYL7fi4UbkK4sBV3P77pPg=,wkPEU5MBDwDM7TCR1NbH2iYL7fi4UbkK4sBV3P77pPg=,wkPEU5MBDwDM7TCR1NbH2iYL7fi4UbkK4sBV3P77pPg=,,,,3,2,2020-01-06,en,January 2020
405,s2GDUNty1obg9K3A92tCpeqjE1HZCnEksyMKhycw934=,s2GDUNty1obg9K3A92tCpeqjE1HZCnEksyMKhycw934=,s2GDUNty1obg9K3A92tCpeqjE1HZCnEksyMKhycw934=,,,,1,10,2020-01-15,th,January 2020
406,FYEvmdQVOUIGPb+hwWGlLNxaK3xgPKGapadRftnvp+o=,FYEvmdQVOUIGPb+hwWGlLNxaK3xgPKGapadRftnvp+o=,FYEvmdQVOUIGPb+hwWGlLNxaK3xgPKGapadRftnvp+o=,,คนดี,,0,3,2019-10-03,en,October 2019
407,dxbke8UK+WKEhC6rjQjeHJuGGw6XJaXQlOfnezKs4w=,dxbke8UK+WKEhC6rjQjeHJuGGw6XJaXQlOfnezKs4w=,dxbke8UK+WKEhC6rjQjeHJuGGw6XJaXQlOfnezKs4w=,,Just play then sleep zzzz,,0,12,2019-12-08,en,December 2019
408,bPjP9WuRYAJv6kcNZUp6PF95fNYTCR00w2jpdfmPZSs=,bPjP9WuRYAJv6kcNZUp6PF95fNYTCR00w2jpdfmPZSs=,bPjP9WuRYAJv6kcNZUp6PF95fNYTCR00w2jpdfmPZSs=,,no problem,,0,3,2019-12-08,en,December 2019
409,PgsMN50omdkcoOQ0h1RwrOYs7oE8P8uhVGU25o3SRLk=,PgsMN50omdkcoOQ0h1RwrOYs7oE8P8uhVGU25o3SRLk=,PgsMN50omdkcoOQ0h1RwrOYs7oE8P8uhVGU25o3SRLk=,,,,0,8,2020-01-24,en,January 2020
410,V5CiqQx8T3GUYWyosoLw2kAmjauUOyxRdt4fldJcY=,V5CiqQx8T3GUYWyosoLw2kAmjauUOyxRdt4fldJcY=,V5CiqQx8T3GUYWyosoLw2kAmjauUOyxRdt4fldJcY=,,,,0,8,2019-12-15,th,December 2019
411,GBtncgD7E+g5sLRkC3bcET+KWkxNTSNfLpRuOPtTiA=,GBtncgD7E+g5sLRkC3bcET+KWkxNTSNfLpRuOPtTiA=,GBtncgD7E+g5sLRkC3bcET+KWkxNTSNfLpRuOPtTiA=,,,,0,17,2020-01-15,en,January 2020
412,OvL8TvejMTkcId3YOfMVd6Pb1Dl7ipY648H73v4gZlM=,OvL8TvejMTkcId3YOfMVd6Pb1Dl7ipY648H73v4gZlM=,OvL8TvejMTkcId3YOfMVd6Pb1Dl7ipY648H73v4gZlM=,,,,0,14,2020-01-30,en,January 2020
413,cgjv+vcRwlyv5phOj+i4NArA7EJJANX3IemTqyXhko=,cgjv+vcRwlyv5phOj+i4NArA7EJJANX3IemTqyXhko=,cgjv+vcRwlyv5phOj+i4NArA7EJJANX3IemTqyXhko=,,,,0,15,2020-01-15,th,January 2020
414,mbmgHQBk+nz80rMvNHApHaKAK5PIdaOK0zcFnceSOw=,mbmgHQBk+nz80rMvNHApHaKAK5PIdaOK0zcFnceSOw=,mbmgHQBk+nz80rMvNHApHaKAK5PIdaOK0zcFnceSOw=,,,,0,0,2020-01-09,en,January 2020
415,lf4gNOh7NlDKhpHVo67sqM6WoELxIBUoePKmNvjqIE=,lf4gNOh7NlDKhpHVo67sqM6WoELxIBUoePKmNvjqIE=,lf4gNOh7NlDKhpHVo67sqM6WoELxIBUoePKmNvjqIE=,,,,0,5,2020-01-14,en,January 2020
416,LTI1EVhYVev8OA9zGubTvkpKDXhSaeFvChjvh7toKXQ=,LTI1EVhYVev8OA9zGubTvkpKDXhSaeFvChjvh7toKXQ=,LTI1EVhYVev8OA9zGubTvkpKDXhSaeFvChjvh7toKXQ=,,ลืมไปก่อน,,1,10,2020-01-31,th,January 2020
417,TYrmoBTzhkK2oEcwerO6QZkH4aYoMsFe9rFGPjDj4I=,TYrmoBTzhkK2oEcwerO6QZkH4aYoMsFe9rFGPjDj4I=,TYrmoBTzhkK2oEcwerO6QZkH4aYoMsFe9rFGPjDj4I=,,,,2,7,2020-01-07,en,January 2020
418,35ZGkfndbjvmzELgmjltkFZWG9Rr7s8CEK24b0VTkE=,35ZGkfndbjvmzELgmjltkFZWG9Rr7s8CEK24b0VTkE=,35ZGkfndbjvmzELgmjltkFZWG9Rr7s8CEK24b0VTkE=,,,,3,12,2019-12-24,th,December 2019
419,Rql5E4ZzoqM7IysFp2HoGhDIWNvQPnuJOxZ1RbRA4g=,Rql5E4ZzoqM7IysFp2HoGhDIWNvQPnuJOxZ1RbRA4g=,Rql5E4ZzoqM7IysFp2HoGhDIWNvQPnuJOxZ1RbRA4g=,"กรุงเทพมหานคร, ประเทศไทย",เป็นตัว ของตัวเองดีที่สุด,,2,8,2020-01-03,th,January 2020
420,nV9SW00sxxxBWNXS5PO7mgheoLuQLe3DjHHtaGSA6os=,nV9SW00sxxxBWNXS5PO7mgheoLuQLe3DjHHtaGSA6os=,nV9SW00sxxxBWNXS5PO7mgheoLuQLe3DjHHtaGSA6os=,,,,0,1,2020-02-21,th,February 2020
421,FbXc+Xl7FiJ6iEsuI97qbpojgWZDTaepWA1OqZVpPAY=,FbXc+Xl7FiJ6iEsuI97qbpojgWZDTaepWA1OqZVpPAY=,FbXc+Xl7FiJ6iEsuI97qbpojgWZDTaepWA1OqZVpPAY=,,เรียนๆๆ,,2,8,2020-01-08,en,January 2020
422,HVLms8d5ACipizT1xRgoalSMZKhl7I05XXrlke8zYew=,HVLms8d5ACipizT1xRgoalSMZKhl7I05XXrlke8zYew=,HVLms8d5ACipizT1xRgoalSMZKhl7I05XXrlke8zYew=,,am ok,,0,5,2019-12-07,en,December 2019
423,2NprmRR+mhkSLLKel+OdgxDQac6FIx1Yq33D6hblig=,2NprmRR+mhkSLLKel+OdgxDQac6FIx1Yq33D6hblig=,2NprmRR+mhkSLLKel+OdgxDQac6FIx1Yq33D6hblig=,,,,1,6,2019-12-21,en,December 2019
424,CTH9oLbhU1YgCX0Xq8A7A0CSwkeqo+hUFj46cAM0PFE=,CTH9oLbhU1YgCX0Xq8A7A0CSwkeqo+hUFj46cAM0PFE=,CTH9oLbhU1YgCX0Xq8A7A0CSwkeqo+hUFj46cAM0PFE=,,En07,,0,6,2020-01-09,th,January 2020
425,rsyTZunQSHD0wcGmbSadRR+9Eo70CSUGQ1uT5i0B+Sg=,rsyTZunQSHD0wcGmbSadRR+9Eo70CSUGQ1uT5i0B+Sg=,rsyTZunQSHD0wcGmbSadRR+9Eo70CSUGQ1uT5i0B+Sg=,,araaaa....~~~,,4,50,2020-01-14,en,January 2020
426,EGar47qB4JqlPG9y0ormxgmsqX9yqN4O7ZWT8pV80Xo=,EGar47qB4JqlPG9y0ormxgmsqX9yqN4O7ZWT8pV80Xo=,EGar47qB4JqlPG9y0ormxgmsqX9yqN4O7ZWT8pV80Xo=,,,,0,34,2019-11-22,en,November 2019
427,oh6H5ouVAbxn0VEnEO8Khwlsd0uLeCvnd+m9Dg1tKEY=,oh6H5ouVAbxn0VEnEO8Khwlsd0uLeCvnd+m9Dg1tKEY=,oh6H5ouVAbxn0VEnEO8Khwlsd0uLeCvnd+m9Dg1tKEY=,,,,0,33,2020-01-14,en,January 2020
428,95dkGwqfJ0qxi5piSAYc8l47b12LtpyPt2Pn5qFD+f0=,95dkGwqfJ0qxi5piSAYc8l47b12LtpyPt2Pn5qFD+f0=,95dkGwqfJ0qxi5piSAYc8l47b12LtpyPt2Pn5qFD+f0=,,,,0,0,2019-12-07,en,December 2019
429,HqMjAznrhySN8EkFbFXDGNTeKWPgWJJiqKuva4iobsM=,HqMjAznrhySN8EkFbFXDGNTeKWPgWJJiqKuva4iobsM=,HqMjAznrhySN8EkFbFXDGNTeKWPgWJJiqKuva4iobsM=,,,,0,0,2019-12-08,en,December 2019
430,1JegTHxMUe69yPrdcwJn9Jr8Ersn2xnfR2+Ns7Fqqs=,1JegTHxMUe69yPrdcwJn9Jr8Ersn2xnfR2+Ns7Fqqs=,1JegTHxMUe69yPrdcwJn9Jr8Ersn2xnfR2+Ns7Fqqs=,,,,0,0,2019-12-23,en,December 2019
431,bkxRMBUXZLiQLAl3teXcCFp55OXjO2LQUHrVIPUZReQ=,bkxRMBUXZLiQLAl3teXcCFp55OXjO2LQUHrVIPUZReQ=,bkxRMBUXZLiQLAl3teXcCFp55OXjO2LQUHrVIPUZReQ=,,,,0,12,2020-01-09,th,January 2020
432,mJs4D7Eo31ssGpiezMdAsUaPU8HYDk0MJTN0Jqc6Yng=,mJs4D7Eo31ssGpiezMdAsUaPU8HYDk0MJTN0Jqc6Yng=,mJs4D7Eo31ssGpiezMdAsUaPU8HYDk0MJTN0Jqc6Yng=,,,,0,2,2019-12-07,en,December 2019
433,GvNdsRKUgUn8PM+1g2VoZO5LNPJHYHfnRcdIuS0gew=,GvNdsRKUgUn8PM+1g2VoZO5LNPJHYHfnRcdIuS0gew=,GvNdsRKUgUn8PM+1g2VoZO5LNPJHYHfnRcdIuS0gew=,,,,2,43,2019-12-06,th,December 2019
434,5Ma1yttR1L4XJsl39s0PkyFzjDcScnCoBne1R70Rxo=,5Ma1yttR1L4XJsl39s0PkyFzjDcScnCoBne1R70Rxo=,5Ma1yttR1L4XJsl39s0PkyFzjDcScnCoBne1R70Rxo=,,,,0,4,2020-01-09,en,January 2020
435,KNJXOxJjzlrC2gK09cVwi3XatzArda+5VERnTZ1smBM=,KNJXOxJjzlrC2gK09cVwi3XatzArda+5VERnTZ1smBM=,KNJXOxJjzlrC2gK09cVwi3XatzArda+5VERnTZ1smBM=,,,,0,0,2020-01-15,en,January 2020
436,6dw5LMNipp0KPULNPJ97lxyFGCRx2tNfw3L2kaG+WJU=,6dw5LMNipp0KPULNPJ97lxyFGCRx2tNfw3L2kaG+WJU=,6dw5LMNipp0KPULNPJ97lxyFGCRx2tNfw3L2kaG+WJU=,,มึงจะปลุกปั่นประชาชนยังไงก็ทำไป แต่อย่ามาหมิ่นกษัตริย์ของกู,,8,99,2019-12-08,th,December 2019
437,2UxYx3EetLr5o072x2DpavfZED0gLOgZpZfeAy3awA=,2UxYx3EetLr5o072x2DpavfZED0gLOgZpZfeAy3awA=,2UxYx3EetLr5o072x2DpavfZED0gLOgZpZfeAy3awA=,,,,1,19,2020-01-09,th,January 2020
438,t7QyGMeMbC68TV71UBtWGetd5Ccc5ypFcxulCrB9jc=,t7QyGMeMbC68TV71UBtWGetd5Ccc5ypFcxulCrB9jc=,t7QyGMeMbC68TV71UBtWGetd5Ccc5ypFcxulCrB9jc=,,,,0,4,2020-01-13,en,January 2020
439,qgbbYJS3+vrON7Z0SCaNsaKCwGirV3QRomcw35wNkQ=,qgbbYJS3+vrON7Z0SCaNsaKCwGirV3QRomcw35wNkQ=,qgbbYJS3+vrON7Z0SCaNsaKCwGirV3QRomcw35wNkQ=,,,,0,15,2020-01-15,th,January 2020
440,o+cE9OO8YrBZmUNJaxeoLsouEXnEzT+2Pyrp5nqqtE=,o+cE9OO8YrBZmUNJaxeoLsouEXnEzT+2Pyrp5nqqtE=,o+cE9OO8YrBZmUNJaxeoLsouEXnEzT+2Pyrp5nqqtE=,,ผมนี่แหละ,,1,14,2019-12-05,th,December 2019
441,n30MJQyLGM4iiWJzcIn+TFzxv33ZKQXOxlvsasJy9S0=,n30MJQyLGM4iiWJzcIn+TFzxv33ZKQXOxlvsasJy9S0=,n30MJQyLGM4iiWJzcIn+TFzxv33ZKQXOxlvsasJy9S0=,,joke,,0,5,2019-12-08,en,December 2019
442,tOHw7OAA1S1AW0EfUkOlGYnvxhOOuVmOCB0hM5dPTI=,tOHw7OAA1S1AW0EfUkOlGYnvxhOOuVmOCB0hM5dPTI=,tOHw7OAA1S1AW0EfUkOlGYnvxhOOuVmOCB0hM5dPTI=,,,,0,10,2020-01-14,en,January 2020
443,piztCgTNZI6rsEbkOGHvBjP2mUv1zVINGFdlmF4T8=,piztCgTNZI6rsEbkOGHvBjP2mUv1zVINGFdlmF4T8=,piztCgTNZI6rsEbkOGHvBjP2mUv1zVINGFdlmF4T8=,,,,0,2,2020-01-09,en,January 2020
444,vJmr1VR8K5RS75nvelNRSv2S1PfZPH8GrMBZWzTH5GM=,vJmr1VR8K5RS75nvelNRSv2S1PfZPH8GrMBZWzTH5GM=,vJmr1VR8K5RS75nvelNRSv2S1PfZPH8GrMBZWzTH5GM=,,,,0,2,2020-01-14,en,January 2020
445,qCr4GfY8+oxalzw94u8RCZhaBkJ45XOtYdV8NOLUA=,qCr4GfY8+oxalzw94u8RCZhaBkJ45XOtYdV8NOLUA=,qCr4GfY8+oxalzw94u8RCZhaBkJ45XOtYdV8NOLUA=,,SEXY,,0,1,2020-01-14,en,January 2020
446,QXcLYvzGmphDvWZsIXtDbX4Nimk60KhMaDLbvQbCo=,QXcLYvzGmphDvWZsIXtDbX4Nimk60KhMaDLbvQbCo=,QXcLYvzGmphDvWZsIXtDbX4Nimk60KhMaDLbvQbCo=,,,,1,35,2020-01-14,en,January 2020
447,kPb5KnU4q6SsVVDnEEc3ZNCefdn2Ooev2puI75YVCQ=,kPb5KnU4q6SsVVDnEEc3ZNCefdn2Ooev2puI75YVCQ=,kPb5KnU4q6SsVVDnEEc3ZNCefdn2Ooev2puI75YVCQ=,,,,0,0,2020-01-14,en,January 2020
448,sv9h4JbqDnKCjzjeHwNWSI+wDDbz46j2bXbWZd3pC4=,sv9h4JbqDnKCjzjeHwNWSI+wDDbz46j2bXbWZd3pC4=,sv9h4JbqDnKCjzjeHwNWSI+wDDbz46j2bXbWZd3pC4=,,กาลเวลา ที่ยังย้ำเตือนความทรงจำดีๆไม่เคยเสื่อม,,1,0,2019-12-07,en,December 2019
449,LLt7vf5+GaP6sXEzX8SJ+plcfDTgX6FBR70iYba6k8M=,LLt7vf5+GaP6sXEzX8SJ+plcfDTgX6FBR70iYba6k8M=,LLt7vf5+GaP6sXEzX8SJ+plcfDTgX6FBR70iYba6k8M=,,,,0,2,2020-01-15,th,January 2020
450,bHEDuOkkJzHRNbxbEukmEaJVNA+ld3MhTdAwih3mmG0=,bHEDuOkkJzHRNbxbEukmEaJVNA+ld3MhTdAwih3mmG0=,bHEDuOkkJzHRNbxbEukmEaJVNA+ld3MhTdAwih3mmG0=,,บรรยากาศช่างหนาวเหน็บ,,1,0,2019-12-07,en,December 2019
451,2d6GMlOrUJUYVYSZRhtFIf3sV22G2aR8g5vPhkjHvrE=,2d6GMlOrUJUYVYSZRhtFIf3sV22G2aR8g5vPhkjHvrE=,2d6GMlOrUJUYVYSZRhtFIf3sV22G2aR8g5vPhkjHvrE=,,ตระกร้อ,,0,3,2019-12-08,en,December 2019
452,p0A3njJTEcHolW3Ptnie+BsDIMEsH0GZfDYt1HimYFw=,p0A3njJTEcHolW3Ptnie+BsDIMEsH0GZfDYt1HimYFw=,p0A3njJTEcHolW3Ptnie+BsDIMEsH0GZfDYt1HimYFw=,,,,0,0,2019-12-08,en,December 2019
453,xJ7oBtBQ5LwtB0heD3ikQI9IPRLEHZQLOoxa0oVSCDI=,xJ7oBtBQ5LwtB0heD3ikQI9IPRLEHZQLOoxa0oVSCDI=,xJ7oBtBQ5LwtB0heD3ikQI9IPRLEHZQLOoxa0oVSCDI=,,,,1,2,2019-12-08,th,December 2019
454,NysagMWEw6QkTCDlcrPhpNSyVbnsZoDf54QrPbBXUX4=,NysagMWEw6QkTCDlcrPhpNSyVbnsZoDf54QrPbBXUX4=,NysagMWEw6QkTCDlcrPhpNSyVbnsZoDf54QrPbBXUX4=,,ขอบขี่ม้าเป็นอาชีพ,,0,3,2019-12-09,en,December 2019
455,MYSLRSUjB31vDgGZurtoZ3QyYDWZIXoXwTRCpSGeVQ=,MYSLRSUjB31vDgGZurtoZ3QyYDWZIXoXwTRCpSGeVQ=,MYSLRSUjB31vDgGZurtoZ3QyYDWZIXoXwTRCpSGeVQ=,,,,0,0,2019-12-24,en,December 2019
456,WRQIEh7AbNm8weiMNGNBWyUHcLru6Jhwg9jxV0fvSqo=,WRQIEh7AbNm8weiMNGNBWyUHcLru6Jhwg9jxV0fvSqo=,WRQIEh7AbNm8weiMNGNBWyUHcLru6Jhwg9jxV0fvSqo=,,,,0,0,2019-12-06,en,December 2019
457,78y3umyudQU21ga4F+SFPvTR4KXSY+3LxqmgUYQsuQ=,78y3umyudQU21ga4F+SFPvTR4KXSY+3LxqmgUYQsuQ=,78y3umyudQU21ga4F+SFPvTR4KXSY+3LxqmgUYQsuQ=,,อิอิ คุคุ,,0,6,2020-01-13,en,January 2020
458,cdLuDy2Kofg74lQL69GW8zUsfWafYDMChX7N7VNrmjs=,cdLuDy2Kofg74lQL69GW8zUsfWafYDMChX7N7VNrmjs=,cdLuDy2Kofg74lQL69GW8zUsfWafYDMChX7N7VNrmjs=,,just wanna play game,,0,10,2019-12-08,en,December 2019
459,g8w721a9+aKVUyb01VWDwMjwAcuuhMPaiwKZWEGaWLI=,g8w721a9+aKVUyb01VWDwMjwAcuuhMPaiwKZWEGaWLI=,g8w721a9+aKVUyb01VWDwMjwAcuuhMPaiwKZWEGaWLI=,,,,0,1,2020-01-13,en,January 2020
460,nlBkeoLYJgp4CRm52wqHNd8ysPv5gVimgpdrtbCsauQ=,nlBkeoLYJgp4CRm52wqHNd8ysPv5gVimgpdrtbCsauQ=,nlBkeoLYJgp4CRm52wqHNd8ysPv5gVimgpdrtbCsauQ=,,,,0,7,2020-01-13,en,January 2020
